ACCIDENT_ID,LOCATE_ID_DISTRICT,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,ACCIDENT_VEHICLE
26857,100951,2,14,8000,1,0,Roads in Village,Dry,Straight way,Bright,Day,664859,1840697,16.64297625,100.5457424,Male,7,Injured,1071,1071,Sedan/Taxi
26952,100949,2,14,92100,1,0,Highways Road,Dry,Straight way,Bright,Day,614647,1882878,17.02718515,100.0771742,Female,37,Injured,1071,1071,pick up
26977,100952,2,14,89000,1,0,Roads in Village,Dry,Straight way,Bright,Day,653222,1859762,16.81604934,100.4379494,Male,29,Injured,1071,1071,motorcycle
27602,100952,4,14,0,1,0,Highways Road,Dry,Straight way,Bright,Day,664135,1863269,16.84699837,100.5405953,Female,13,Injured,1071,1071,Sedan/Taxi
27664,100949,11,15,10000,1,0,Rural Roads,Dry,Straight way,Bright,Day,664135,1863269,16.84699837,100.5405953,Male,20,Injured,1071,1071,motorcycle
27865,100948,8,14,20000,1,0,Roads in Village,Dry,Straight way,Bright,Day,643600,1863657,16.8518608,100.3479171,Male,22,Died later,1071,1071,Sedan/Taxi
28225,100949,6,13,59000,1,0,Roads in Village,Dry,Straight way,Bright,Day,635151,1860387,16.82281382,100.2684274,Male,30,Injured,1071,1071,Van
28330,100952,8,14,60000,1,0,Roads in Village,Dry,Straight way,Bright,Day,656456,1828699,16.53512309,100.4661519,Female,62,Injured,1071,1071,motorcycle
28392,100950,3,14,60000,1,0,Roads in Village,Dry,Straight way,Bright,Day,656456,1828699,16.53512309,100.4661519,Male,71,Injured,1071,1071,pick up
28601,100949,8,13,59000,1,0,Roads in Village,Dry,Straight way,Bright,Day,674646,1831992,16.56361246,100.6368141,Female,18,Injured,1071,1071,motorcycle
28691,100946,4,15,5000,1,0,City road (municipality),Wet,Straight way,Bright,Day,599767,1843845,16.67507915,99.93564659,Male,76,Injured,1071,1071,motorcycle
29285,100949,1,7,30000,0,0,City road (municipality),Dry,Straight way,Bright,Day,623369,1898853,17.17111028,100.1600041,Male,64,Injured,1071,0,motorcycle
29287,100958,1,7,0,0,0,Highways Road,Wet,Straight way,Bright,Day,635718,1851839,16.74552842,100.2732331,Male,25,Injured,1071,1071,Truck
29963,100949,10,12,59000,1,0,Roads in Village,Wet,Straight way,Bright,Day,625996,1882554,17.0236643,100.1837703,Male,49,Injured,1071,1071,Sedan/Taxi
30122,100950,4,13,59000,1,0,Highways Road,Dry,Straight way,Bright,Day,675066,1832299,16.56635562,100.6407727,Male,17,Injured,1071,1071,motorcycle
33606,100534,9,15,500000,2,0,Highways Road,Not specified,Straight way,Bright,Day,624530,1854690,16.77191622,100.1684471,Male,26,Injured,1071,1071,Sedan/Taxi
37709,100949,4,14,0,0,2,Highways Road,Dry,Straight way,Bright,Day,639975,1888852,17.07977335,100.3154817,Male,20,Injured,1071,1068,motorcycle
37710,100949,4,14,0,0,2,Highways Road,Dry,Straight way,Bright,Day,639975,1888852,17.07977335,100.3154817,Male,39,Injured,1071,1071,motorcycle
38538,100949,8,13,59000,1,0,Roads in Village,Dry,Straight way,Bright,Day,699288,1897799,17.15622568,100.8735284,Female,13,Injured,1071,1071,motorcycle
38933,100952,9,13,59000,1,0,Roads in Village,Wet,Straight way,Bright,Day,673131,1836094,16.60079027,100.6229302,Male,10,Injured,1071,1071,pick up
38937,100947,9,13,59000,1,0,Roads in Village,Dry,Straight way,Bright,Day,635569,1845699,16.69004643,100.2714678,Female,56,Injured,1071,1071,Bus
39070,100949,3,14,60500,1,0,City road (municipality),Wet,Straight way,Bright,Day,638671,1893718,17.12382702,100.303535,Male,15,Injured,1071,1071,motorcycle
39092,100949,8,13,59000,1,0,City road (municipality),Dry,Straight way,Bright,Day,633833,1859718,16.81684368,100.25602,Female,24,Injured,1071,1071,pick up
39214,100952,2,14,1000,1,0,Rural Roads,Dry,Straight way,Bright,Day,678032,1824088,16.49193939,100.6679252,Male,15,Injured,1071,1071,motorcycle
39448,100949,2,14,4000000,0,1,City road (municipality),Dry,Straight way,Bright,Day,678032,1824088,16.49193939,100.6679252,Male,15,Injured,1071,1071,motorcycle
39463,100949,9,13,59000,1,0,Roads in Village,Dry,Straight way,Bright,Day,694196,1889738,17.08383415,100.8249654,Male,71,Injured,1071,1071,motorcycle
40235,100949,8,13,45000,1,0,Roads in Village,Dry,Straight way,Bright,Day,618917,1852266,16.75029987,100.1156609,Male,24,Injured,1071,1071,motorcycle
40421,100950,12,12,45000,1,0,Roads in Village,Dry,Straight way,Bright,Day,652652,1860220,16.82022556,100.4326324,Male,48,Died later,1071,1071,Sedan/Taxi
